Permissive,Description,Logic
M0165C_FwdPerm.Inp_Perm00,Up Position,XIO(ZSU0165_Sts) OTE(M0165C_FwdPerm.Inp_Perm00) 
M0165C_FwdPerm.Inp_Perm01,,
M0165C_FwdPerm.Inp_Perm02,,
M0165C_FwdPerm.Inp_Perm03,,
M0165C_FwdPerm.Inp_Perm04,,
M0165C_FwdPerm.Inp_Perm05,,
M0165C_FwdPerm.Inp_Perm06,,
M0165C_FwdPerm.Inp_Perm07,,
M0165C_FwdPerm.Inp_Perm08,,
M0165C_RevPerm.Inp_Perm00,Down Position,XIO(ZSD0165_Sts) OTE(M0165C_RevPerm.Inp_Perm00) 
M0165C_RevPerm.Inp_Perm01,,
M0165C_RevPerm.Inp_Perm02,,
M0165C_RevPerm.Inp_Perm03,,
M0165C_RevPerm.Inp_Perm04,,
M0165C_RevPerm.Inp_Perm05,,
M0165C_RevPerm.Inp_Perm06,,
M0165C_RevPerm.Inp_Perm07,,
M0165C_RevPerm.Inp_Perm08,,
M0312_FwdPerm.Inp_Perm00,Lift - Up Position,
M0312_FwdPerm.Inp_Perm01,,
M0312_FwdPerm.Inp_Perm02,,
M0312_FwdPerm.Inp_Perm03,,
M0312_FwdPerm.Inp_Perm04,,
M0312_FwdPerm.Inp_Perm05,,
M0312_FwdPerm.Inp_Perm06,,
M0312_FwdPerm.Inp_Perm07,,
M0312_FwdPerm.Inp_Perm08,,
M0312_RevPerm.Inp_Perm00,Lift - Down Position,
M0312_RevPerm.Inp_Perm01,,
M0312_RevPerm.Inp_Perm02,,
M0312_RevPerm.Inp_Perm03,,
M0312_RevPerm.Inp_Perm04,,
M0312_RevPerm.Inp_Perm05,,
M0312_RevPerm.Inp_Perm06,,
M0312_RevPerm.Inp_Perm07,,
M0312_RevPerm.Inp_Perm08,,
M7019_FwdPerm.Inp_Perm00,Lift - Up Position,
M7019_FwdPerm.Inp_Perm01,,
M7019_FwdPerm.Inp_Perm02,,
M7019_FwdPerm.Inp_Perm03,,
M7019_FwdPerm.Inp_Perm04,,
M7019_FwdPerm.Inp_Perm05,,
M7019_FwdPerm.Inp_Perm06,,
M7019_FwdPerm.Inp_Perm07,,
M7019_FwdPerm.Inp_Perm08,,
M7019_RevPerm.Inp_Perm00,Lift - Down Position,
M7019_RevPerm.Inp_Perm01,,
M7019_RevPerm.Inp_Perm02,,
M7019_RevPerm.Inp_Perm03,,
M7019_RevPerm.Inp_Perm04,,
M7019_RevPerm.Inp_Perm05,,
M7019_RevPerm.Inp_Perm06,,
M7019_RevPerm.Inp_Perm07,,
M7019_RevPerm.Inp_Perm08,,
M7023_FwdPerm.Inp_Perm00,Lift - Up Position,
M7023_FwdPerm.Inp_Perm01,,
M7023_FwdPerm.Inp_Perm02,,
M7023_FwdPerm.Inp_Perm03,,
M7023_FwdPerm.Inp_Perm04,,
M7023_FwdPerm.Inp_Perm05,,
M7023_FwdPerm.Inp_Perm06,,
M7023_FwdPerm.Inp_Perm07,,
M7023_FwdPerm.Inp_Perm08,,
M7023_RevPerm.Inp_Perm00,Lift - Down Position,
M7023_RevPerm.Inp_Perm01,,
M7023_RevPerm.Inp_Perm02,,
M7023_RevPerm.Inp_Perm03,,
M7023_RevPerm.Inp_Perm04,,
M7023_RevPerm.Inp_Perm05,,
M7023_RevPerm.Inp_Perm06,,
M7023_RevPerm.Inp_Perm07,,
M7023_RevPerm.Inp_Perm08,,
M7031B_FwdPerm.Inp_Perm00,Position 2 Limit,XIO(ZS7031D_Sts) OTE(M7031B_FwdPerm.Inp_Perm00) 
M7031B_FwdPerm.Inp_Perm01,,
M7031B_FwdPerm.Inp_Perm02,,
M7031B_FwdPerm.Inp_Perm03,,
M7031B_FwdPerm.Inp_Perm04,,
M7031B_FwdPerm.Inp_Perm05,,
M7031B_FwdPerm.Inp_Perm06,,
M7031B_FwdPerm.Inp_Perm07,,
M7031B_FwdPerm.Inp_Perm08,,
M7031B_RevPerm.Inp_Perm00,Position 1 Limit,XIO(ZS7031A_Sts) OTE(M7031B_RevPerm.Inp_Perm00) 
M7031B_RevPerm.Inp_Perm01,,
M7031B_RevPerm.Inp_Perm02,,
M7031B_RevPerm.Inp_Perm03,,
M7031B_RevPerm.Inp_Perm04,,
M7031B_RevPerm.Inp_Perm05,,
M7031B_RevPerm.Inp_Perm06,,
M7031B_RevPerm.Inp_Perm07,,
M7031B_RevPerm.Inp_Perm08,,
M7034C_FwdPerm.Inp_Perm00,Up Position,XIO(ZSU7034_Sts) OTE(M7034C_FwdPerm.Inp_Perm00) 
M7034C_FwdPerm.Inp_Perm01,,
M7034C_FwdPerm.Inp_Perm02,,
M7034C_FwdPerm.Inp_Perm03,,
M7034C_FwdPerm.Inp_Perm04,,
M7034C_FwdPerm.Inp_Perm05,,
M7034C_FwdPerm.Inp_Perm06,,
M7034C_FwdPerm.Inp_Perm07,,
M7034C_FwdPerm.Inp_Perm08,,
M7034C_FwdPerm1.Inp_Perm00,,
M7034C_FwdPerm1.Inp_Perm01,,
M7034C_FwdPerm1.Inp_Perm02,,
M7034C_FwdPerm1.Inp_Perm03,,
M7034C_FwdPerm1.Inp_Perm04,,
M7034C_FwdPerm1.Inp_Perm05,,
M7034C_FwdPerm1.Inp_Perm06,,
M7034C_FwdPerm1.Inp_Perm07,,
M7034C_FwdPerm1.Inp_Perm08,,
