Permissive,Description,Logic
M7104BC_FwdPerm.Inp_Perm00,ZS05 Up Position,<![CDATA[[XIO(ZS09_7104) OTE(M7104BC_FwdPerm.Inp_Perm00) 
M7104BC_FwdPerm.Inp_Perm01,ZS06 Over Travel,XIC(ZS13_7104) OTE(M7104BC_FwdPerm.Inp_Perm01) 
M7104BC_FwdPerm.Inp_Perm02,ZS11 Lock Pin,XIC(ZS01_7104) OTE(M7104BC_FwdPerm.Inp_Perm02) 
M7104BC_FwdPerm.Inp_Perm03,ZS12 Lock Pin,XIC(ZS03_7104) OTE(M7104BC_FwdPerm.Inp_Perm03) 
M7104BC_FwdPerm.Inp_Perm04,ZS13 Lock Pin,XIC(ZS06_7104) OTE(M7104BC_FwdPerm.Inp_Perm04) 
M7104BC_FwdPerm.Inp_Perm05,ZS14 Lock Pin,XIC(ZS07_7104) OTE(M7104BC_FwdPerm.Inp_Perm05) 
M7104BC_FwdPerm.Inp_Perm06,Pallet Position,"<![CDATA[[XIO(ZS09_7104) OTE(M7104BC_FwdPerm.Inp_Perm00) ,XIC(ZS13_7104) OTE(M7104BC_FwdPerm.Inp_Perm01) ,XIC(ZS01_7104) OTE(M7104BC_FwdPerm.Inp_Perm02) ,XIC(ZS03_7104) OTE(M7104BC_FwdPerm.Inp_Perm03) ,XIC(ZS06_7104) OTE(M7104BC_FwdPerm.Inp_Perm04) ,XIC(ZS07_7104) OTE(M7104BC_FwdPerm.Inp_Perm05) ,XIC(ZSB7104_Sts) XIC(ZSF7104_Sts) OTE(M7104BC_FwdPerm.Inp_Perm06) ];]]>"
M7104BC_FwdPerm.Inp_Perm07,,
M7104BC_FwdPerm.Inp_Perm08,,
M7104BC_RevPerm.Inp_Perm00,ZS01 Over Travel,<![CDATA[[XIC(ZS14_7104) OTE(M7104BC_RevPerm.Inp_Perm00) 
M7104BC_RevPerm.Inp_Perm01,ZS02 Down Position,XIO(ZS11_7104) OTE(M7104BC_RevPerm.Inp_Perm01) 
M7104BC_RevPerm.Inp_Perm02,ZS11 Lock Pin,XIC(ZS01_7104) OTE(M7104BC_RevPerm.Inp_Perm02) 
M7104BC_RevPerm.Inp_Perm03,ZS12 Lock Pin,XIC(ZS03_7104) OTE(M7104BC_RevPerm.Inp_Perm03) 
M7104BC_RevPerm.Inp_Perm04,ZS13 Lock Pin,XIC(ZS06_7104) OTE(M7104BC_RevPerm.Inp_Perm04) 
M7104BC_RevPerm.Inp_Perm05,ZS14 Lock Pin,XIC(ZS07_7104) OTE(M7104BC_RevPerm.Inp_Perm05) 
M7104BC_RevPerm.Inp_Perm06,Pallet Position,"<![CDATA[[XIC(ZS14_7104) OTE(M7104BC_RevPerm.Inp_Perm00) ,XIO(ZS11_7104) OTE(M7104BC_RevPerm.Inp_Perm01) ,XIC(ZS01_7104) OTE(M7104BC_RevPerm.Inp_Perm02) ,XIC(ZS03_7104) OTE(M7104BC_RevPerm.Inp_Perm03) ,XIC(ZS06_7104) OTE(M7104BC_RevPerm.Inp_Perm04) ,XIC(ZS07_7104) OTE(M7104BC_RevPerm.Inp_Perm05) ,XIC(ZSB7104_Sts) XIC(ZSF7104_Sts) OTE(M7104BC_RevPerm.Inp_Perm06) ];]]>"
M7104BC_RevPerm.Inp_Perm07,,
M7104BC_RevPerm.Inp_Perm08,,
