[Numeric.0.0],,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Value,Extent,Manipulate,TreatAs,Access,ScaleTo,Sim,OnWrite,HasSP,Label,Alias,Desc,Class,FormType,LimitMin,LimitMax,LimitType,Deadband,ColType,Event1 / Mode,Event2 / Mode,Trigger1 / Mode,Trigger2 / Mode,QuickPlot / Mode,Sec / Access,Sec / Logging
_Calc,_Data/100,,None,,,,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
_Data,[Sorter.400066.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_1mm,[Sorter.404106.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_2mm,[Sorter.404108.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_3mm,[Sorter.404110.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_4mm,[Sorter.404112.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_5mm,[Sorter.404114.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_6mm,[Sorter.404116.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_7mm,[Sorter.404118.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_8mm,[Sorter.404120.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_9mm,[Sorter.404122.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_10mm,[Sorter.404124.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_11mm,[Sorter.404126.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_12mm,[Sorter.404128.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_13mm,[Sorter.404130.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_14mm,[Sorter.404132.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_15mm,[Sorter.404134.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_16mm,[Sorter.404136.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_17mm,[Sorter.404138.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_18mm,[Sorter.404140.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_19mm,[Sorter.404142.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_20mm,[Sorter.404144.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_21mm,[Sorter.404146.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_22mm,[Sorter.404148.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_23mm,[Sorter.404150.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_24mm,[Sorter.404152.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_25mm,[Sorter.404154.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_1Inch,RejectCount_1mm+RejectCount_2mm+RejectCount_3mm+RejectCount_4mm+RejectCount_5mm+RejectCount_6mm+RejectCount_7mm+RejectCount_8mm+RejectCount_9mm+RejectCount_10mm+RejectCount_11mm+RejectCount_12mm+RejectCount_13mm+RejectCount_14mm+RejectCount_15mm+RejectCount_16mm+RejectCount_17mm+RejectCount_18mm+RejectCount_19mm+RejectCount_20mm+RejectCount_21mm+RejectCount_22mm+RejectCount_23mm+RejectCount_24mm+RejectCount_25mm,,None,,,,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
