Registers,MM,Inch
404106,1,1
404108,2,1
404110,3,1
404112,4,1
404114,5,1
404116,6,1
404118,7,1
404120,8,1
404122,9,1
404124,10,1
404126,11,1
404128,12,1
404130,13,1
404132,14,1
404134,15,1
404136,16,1
404138,17,1
404140,18,1
404142,19,1
404144,20,1
404146,21,1
404148,22,1
404150,23,1
404152,24,1
404154,25,1
404156,26,2
404158,27,2
404160,28,2
404162,29,2
404164,30,2
404166,31,2
404168,32,2
404170,33,2
404172,34,2
404174,35,2
404176,36,2
404178,37,2
404180,38,2
404182,39,2
404184,40,2
404186,41,2
404188,42,2
404190,43,2
404192,44,2
404194,45,2
404196,46,2
404198,47,2
404200,48,2
404202,49,2
404204,50,2
404206,51,3
404208,52,3
404210,53,3
404212,54,3
404214,55,3
404216,56,3
404218,57,3
404220,58,3
404222,59,3
404224,60,3
404226,61,3
404228,62,3
404230,63,3
404232,64,3
404234,65,3
404236,66,3
404238,67,3
404240,68,3
404242,69,3
404244,70,3
404246,71,3
404248,72,3
404250,73,3
404252,74,3
404254,75,3
404256,76,3
404258,77,4
404260,78,4
404262,79,4
404264,80,4
404266,81,4
404268,82,4
404270,83,4
404272,84,4
404274,85,4
404276,86,4
404278,87,4
404280,88,4
404282,89,4
404284,90,4
404286,91,4
404288,92,4
404290,93,4
404292,94,4
404294,95,4
404296,96,4
404298,97,4
404300,98,4
404302,99,4
404304,100,4
404306,101,4
404308,102,5
404310,103,5
404312,104,5
404314,105,5
404316,106,5
404318,107,5
404320,108,5
404322,109,5
404324,110,5
404326,111,5
404328,112,5
404330,113,5
404332,114,5
404334,115,5
404336,116,5
404338,117,5
404340,118,5
404342,119,5
404344,120,5
404346,121,5
404348,122,5
404350,123,5
404352,124,5
404354,125,5
404356,126,5
404358,127,5
404360,128,6
404362,129,6
404364,130,6
404366,131,6
404368,132,6
404370,133,6
404372,134,6
404374,135,6
404376,136,6
404378,137,6
404380,138,6
404382,139,6
404384,140,6
404386,141,6
404388,142,6
404390,143,6
404392,144,6
404394,145,6
404396,146,6
404398,147,6
404400,148,6
404402,149,6
404404,150,6
404406,151,6
404408,152,6
404410,153,7
404412,154,7
404414,155,7
404416,156,7
404418,157,7
404420,158,7
404422,159,7
404424,160,7
404426,161,7
404428,162,7
404430,163,7
404432,164,7
404434,165,7
404436,166,7
404438,167,7
404440,168,7
404442,169,7
404444,170,7
404446,171,7
404448,172,7
404450,173,7
404452,174,7
404454,175,7
404456,176,7
404458,177,7
404460,178,8
404462,179,8
404464,180,8
404466,181,8
404468,182,8
404470,183,8
404472,184,8
404474,185,8
404476,186,8
404478,187,8
404480,188,8
404482,189,8
404484,190,8
404486,191,8
404488,192,8
404490,193,8
404492,194,8
404494,195,8
404496,196,8
404498,197,8
404500,198,8
404502,199,8
404504,200,8
404506,201,8
404508,202,8
404510,203,8
404512,204,9
404514,205,9
404516,206,9
404518,207,9
404520,208,9
404522,209,9
404524,210,9
404526,211,9
404528,212,9
404530,213,9
404532,214,9
404534,215,9
404536,216,9
404538,217,9
404540,218,9
404542,219,9
404544,220,9
404546,221,9
404548,222,9
404550,223,9
404552,224,9
404554,225,9
404556,226,9
404558,227,9
404560,228,9
404562,229,10
404564,230,10
404566,231,10
404568,232,10
404570,233,10
404572,234,10
404574,235,10
404576,236,10
404578,237,10
404580,238,10
404582,239,10
404584,240,10
404586,241,10
404588,242,10
404590,243,10
404592,244,10
404594,245,10
404596,246,10
404598,247,10
404600,248,10
404602,249,10
404604,250,10
404606,251,10
404608,252,10
404610,253,10
404612,254,10
404614,255,11
404616,256,11
404618,257,11
404620,258,11
404622,259,11
404624,260,11
404626,261,11
404628,262,11
404630,263,11
404632,264,11
404634,265,11
404636,266,11
404638,267,11
404640,268,11
404642,269,11
404644,270,11
404646,271,11
404648,272,11
404650,273,11
404652,274,11
404654,275,11
404656,276,11
404658,277,11
404660,278,11
404662,279,11
404664,280,12
404666,281,12
404668,282,12
404670,283,12
404672,284,12
404674,285,12
404676,286,12
404678,287,12
404680,288,12
404682,289,12
404684,290,12
404686,291,12
404688,292,12
404690,293,12
404692,294,12
404694,295,12
404696,296,12
